ejercicio,seccion_cod,servicio_cod,servicio_denominacion,dir3_cod,dir3_denominacion,match_tipo,match_detalle
2026,01,01,CASA DE SU MAJESTAD EL REY,,,sin_match,seccion_sin_ministerio_dir3
2026,02,01,CORTES GENERALES,,,sin_match,seccion_sin_ministerio_dir3
2026,02,02,CONGRESO DE LOS DIPUTADOS,,,sin_match,seccion_sin_ministerio_dir3
2026,02,03,SENADO,,,sin_match,seccion_sin_ministerio_dir3
2026,02,04,JUNTA ELECTORAL CENTRAL,,,sin_match,seccion_sin_ministerio_dir3
2026,02,05,DEFENSOR DEL PUEBLO,,,sin_match,seccion_sin_ministerio_dir3
2026,03,01,"TRIBUNAL, FISCALÍA Y SERVICIOS GENERALES",,,sin_match,seccion_sin_ministerio_dir3
2026,04,01,TRIBUNAL CONSTITUCIONAL,,,sin_match,seccion_sin_ministerio_dir3
2026,05,01,CONSEJO DE ESTADO,,,sin_match,seccion_sin_ministerio_dir3
2026,06,01,"BONOS, OBLIGACIONES Y OTRAS DEUDAS",,,sin_match,seccion_sin_ministerio_dir3
2026,06,02,PRÉSTAMOS,,,sin_match,seccion_sin_ministerio_dir3
2026,06,03,LETRAS DEL TESORO,,,sin_match,seccion_sin_ministerio_dir3
2026,06,04,DEUDAS ASUMIDAS,,,sin_match,seccion_sin_ministerio_dir3
2026,06,05,OBLIGACIONES DIVERSAS,,,sin_match,seccion_sin_ministerio_dir3
2026,07,01,PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS,,,sin_match,seccion_sin_ministerio_dir3
2026,08,01,CONSEJO GENERAL DEL PODER JUDICIAL,,,sin_match,seccion_sin_ministerio_dir3
2026,09,01,DIRECCIÓN GENERAL DE PRESUPUESTOS,,,sin_match,seccion_sin_ministerio_dir3
2026,10,01,DIRECCIÓN GENERAL DE RACIONALIZACIÓN Y CENTRALIZACIÓN DE LA CONTRATACIÓN,,,sin_match,seccion_sin_ministerio_dir3
2026,12,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05023901,"Ministerio de Asuntos Exteriores, Unión Europea y Cooperación",por_denominacion,regla_servicios_generales
2026,12,01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES",E05033801,"Subsecretaría de Asuntos Exteriores, Unión Europea y Cooperación",por_denominacion,regla_servicios_generales
2026,12,02,SECRETARÍA DE ESTADO PARA LA UNIÓN EUROPEA,E05028501,Secretaría de Estado para la Unión Europea,exacto,denominacion_normalizada
