seccion_cod,servicio_cod,dir3_cod,denominacion,dir3_padre_cod,ministerio_dir3_cod,ministerio_denominacion,nivel_jerarquico,nivel_organico,nivel_organico_senal,tipo_entidad,estado,fecha_inicio,fecha_fin
,,E00003301,Ministerio de Defensa,EA9999999,E00003301,Ministerio de Defensa,1,MINISTERIO,denominacion,MN,V,1959-09-07,
,,E00115201,S.Gral. de Politica de Defensa,E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,MN,V,2001-01-01,
,,E00115401,Secretaria del Ministro,E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,MN,V,1986-01-01,
,,E00115501,Gabinete del Ministro,E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,MN,V,1986-01-01,
,,E00115601,Gabinete Tecnico del Ministro,E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,MN,V,1986-01-01,
,,E00115801,Estado Mayor de la Defensa,E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,MN,V,1985-10-01,
,,E00116001,S. de E. de Defensa,E00003301,E00003301,Ministerio de Defensa,2,SECRETARIA_ESTADO,denominacion,MN,V,1984-04-17,
,,E00116501,Subsecretaria de Defensa,E00003301,E00003301,Ministerio de Defensa,2,SUBSECRETARIA,denominacion,MN,V,1996-02-19,
,,E00117001,Ejército de Tierra,E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,MN,V,1969-01-01,
,,E00117101,Armada,E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,MN,V,1969-01-01,
,,E00117201,Ejército del Aire y del Espacio,E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,MN,V,1972-05-25,
,,E04720503,Unidad Militar de Emergencias,E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,MN,V,2015-12-01,
,,EA0008342,"Ingenieria de Sistemas para la Defensa de España, S.A.",E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,SM,V,2026-06-10,
,,EA0009577,Consorcio Castillo de San Pedro,E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,,V,2026-06-10,
,,EA0018109,Consorcio del Museo Militar de Menorca,E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,MN,V,1998-06-22,
,,EA0018976,Consorcio Castillo San Fernando,E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,,V,2003-11-06,
,,EA0019035,Consorcio del Castillo de San Carlos,E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,,V,1997-04-07,
,,EA0020816,Centro Nacional de Inteligencia,E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,CN,V,2026-06-10,
,,EA0047487,Cuarto Militar de la Casa de S.M. el Rey,E00003301,E00003301,Ministerio de Defensa,2,OTRO,sin_senal,MN,V,1975-11-21,
,,E00115702,D.G. de Politica de Defensa,E00115201,E00003301,Ministerio de Defensa,3,DIRECCION_GENERAL,denominacion,MN,V,2004-04-20,
,,E00116102,D.G. de Armamento y Material,E00116001,E00003301,Ministerio de Defensa,3,DIRECCION_GENERAL,denominacion,MN,V,2004-04-20,
,,E00116202,D.G. de Asuntos Economicos,E00116001,E00003301,Ministerio de Defensa,3,DIRECCION_GENERAL,denominacion,MN,V,2004-04-20,
,,E00116302,D.G. de Infraestructura,E00116001,E00003301,Ministerio de Defensa,3,DIRECCION_GENERAL,denominacion,MN,V,2004-04-20,
,,E00116401,Instituto Nacional de Técnica Aeroespacial Esteban Terradas (INTA),E00116001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,OA,V,1969-09-02,
,,E00116602,S.G.T. de Defensa,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2004-04-20,
,,E00116702,D.G. de Personal,E00116501,E00003301,Ministerio de Defensa,3,DIRECCION_GENERAL,denominacion,MN,V,2004-04-20,
,,E00116802,D.G. de Reclutamiento y Enseñanza Militar,E00116501,E00003301,Ministerio de Defensa,3,DIRECCION_GENERAL,denominacion,MN,V,2004-04-20,
,,E00116901,Instituto Social de las Fuerzas Armadas,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,OA,V,1978-10-02,
,,E02810102,Seccion Española del Comite Permanente Hispano-Norteamericano,E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2012-03-07,
,,E02810603,Cuartel General del Estado Mayor de la Defensa,E00115801,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2015-12-01,
,,E02811601,Instituto de Historia y Cultura Militar,E00117001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1998-09-01,
,,E02811701,Mando de Personal,E00117001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1998-09-01,
,,E02812501,Mando de Apoyo Logístico,E00117001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1998-09-01,
,,E02819101,Mando de Adiestramiento y Doctrina,E00117001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1998-09-01,
,,E02828902,Cuartel General Terrestre de Alta Disponibilidad,E00117001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2026-06-10,
,,E02861501,Jefatura de Apoyo Logístico,E00117101,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1989-09-01,
,,E02863301,Cuartel General de la Armada,E00117101,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1998-12-02,
,,E02905402,Intendencia de Las Palmas,E00117101,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2006-03-22,
,,E02907301,Agrupación del Cuartel General del Ejército del Aire y del Espacio,E00117201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1989-09-01,
,,E02907801,Servicio Histórico y Cultural del Ejército del Aire y del Espacio,E00117201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1989-09-01,
,,E02926101,Secretaria del Secretario de Estado,E00116001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1989-09-01,
,,E02926201,Gabinete del Secretario de Estado,E00116001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1988-11-01,
,,E02926301,Gabinete Tecnico Secretario de Estado de la Defensa,E00116001,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1996-12-01,
,,E02931803,Centro Superior de Estudios de la Defensa Nacional,E00115801,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2015-12-01,
,,E02932001,Gabinete Tecnico,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1996-05-01,
,,E02932101,S.G. de Regimen Interior,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1996-09-01,
,,E02932201,S.G. de Servicios Economicos y Pagadurias,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1996-09-01,
,,E02932301,Asesoria Juridica General de la Defensa,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1996-10-01,
,,E02932401,Intervencion General de la Defensa,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1996-10-01,
,,E02932501,Inspeccion General de Sanidad de la Defensa,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1996-10-01,
,,E02934002,Delegacion de Defensa en las Illes Balears,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2003-11-14,
,,E02936001,Delegacion de Defensa en La Rioja,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1998-01-01,
,,E02937401,Delegacion de Defensa en Cantabria,E00116501,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,1998-01-01,
,,E02953103,Agregaduria de Defensa Embajada de España en Argelia (ARGEL),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02953203,Agregaduria de Defensa Embajada de España en Argentina (BUENOS AIRES),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02953302,Representacion Permanente de España en la Osce (VIENA),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2002-09-08,
,,E02953402,Representacion Militar OTAN (BRUSELAS),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2002-09-08,
,,E02953503,Agregaduria de Defensa Embajada de España en Brasil (BRASILIA),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02953703,Agregaduria de Defensa Embajada de España en Chile (SANTIAGO DE CHILE),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02953803,Agregaduria de Defensa Embajada de España en China (PEKIN),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
,,E02953903,Agregaduria de Defensa Embajada de España en Colombia (STA. FE DE BOGOTA),E00115201,E00003301,Ministerio de Defensa,3,OTRO,sin_senal,MN,V,2005-09-04,
