ejercicio,presupuesto,seccion_cod,seccion_denominacion,servicio_cod,servicio_denominacion
2026,2025-P,01,CASA DE SU MAJESTAD EL REY,01,CASA DE SU MAJESTAD EL REY
2026,2025-P,02,CORTES GENERALES,01,CORTES GENERALES
2026,2025-P,02,CORTES GENERALES,02,CONGRESO DE LOS DIPUTADOS
2026,2025-P,02,CORTES GENERALES,03,SENADO
2026,2025-P,02,CORTES GENERALES,04,JUNTA ELECTORAL CENTRAL
2026,2025-P,02,CORTES GENERALES,05,DEFENSOR DEL PUEBLO
2026,2025-P,03,TRIBUNAL DE CUENTAS,01,"TRIBUNAL, FISCALÍA Y SERVICIOS GENERALES"
2026,2025-P,04,TRIBUNAL CONSTITUCIONAL,01,TRIBUNAL CONSTITUCIONAL
2026,2025-P,05,CONSEJO DE ESTADO,01,CONSEJO DE ESTADO
2026,2025-P,06,DEUDA PÚBLICA,01,"BONOS, OBLIGACIONES Y OTRAS DEUDAS"
2026,2025-P,06,DEUDA PÚBLICA,02,PRÉSTAMOS
2026,2025-P,06,DEUDA PÚBLICA,03,LETRAS DEL TESORO
2026,2025-P,06,DEUDA PÚBLICA,04,DEUDAS ASUMIDAS
2026,2025-P,06,DEUDA PÚBLICA,05,OBLIGACIONES DIVERSAS
2026,2025-P,07,CLASES PASIVAS,01,PENSIONES Y OTRAS PRESTACIONES DE CLASES PASIVAS
2026,2025-P,08,CONSEJO GENERAL DEL PODER JUDICIAL,01,CONSEJO GENERAL DEL PODER JUDICIAL
2026,2025-P,09,APORTACIONES AL MUTUALISMO ADMINISTRATIVO,01,DIRECCIÓN GENERAL DE PRESUPUESTOS
2026,2025-P,10,CONTRATACIÓN CENTRALIZADA,01,DIRECCIÓN GENERAL DE RACIONALIZACIÓN Y CENTRALIZACIÓN DE LA CONTRATACIÓN
2026,2025-P,12,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES"
2026,2025-P,12,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",02,SECRETARÍA DE ESTADO PARA LA UNIÓN EUROPEA
2026,2025-P,12,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",03,SECRETARÍA DE ESTADO DE COOPERACIÓN INTERNACIONAL
2026,2025-P,12,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",04,SECRETARÍA DE ESTADO DE ASUNTOS EXTERIORES Y GLOBALES
2026,2025-P,12,"MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN",05,SECRETARÍA DE ESTADO PARA IBEROAMERICA Y EL CARIBE Y EL ESPAÑOL EN EL MUNDO
2026,2025-P,13,"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES",01,"MINISTERIO, SUBSECRETARÍA Y SERVICIOS GENERALES"
2026,2025-P,13,"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES",02,SECRETARÍA DE ESTADO DE JUSTICIA
2026,2025-P,13,"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES",03,DIRECCIÓN GENERAL DE SEGURIDAD JURÍDICA Y FE PÚBLICA
2026,2025-P,13,"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES",04,ABOGACÍA GENERAL DEL ESTADO
2026,2025-P,13,"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES",05,SECRETARÍA GENERAL PARA LA INNOVACIÓN Y CALIDAD DEL SERVICIO PÚBLICO DE JUSTICIA. FISCALÍA GENERAL
2026,2025-P,13,"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES",06,SECRETARÍA GENERAL PARA LA INNOVACIÓN Y CALIDAD DEL SERVICIO PÚBLICO DE JUSTICIA. MINISTERIO FISCAL
2026,2025-P,13,"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES",07,PRESIDENTE DEL GOBIERNO
2026,2025-P,13,"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES",08,SECRETARIADO DEL GOBIERNO Y RELACIONES CON LAS CORTES
2026,2025-P,14,MINISTERIO DE DEFENSA,01,MINISTERIO Y SUBSECRETARÍA
