# Registro versionado de equivalencias de secciones presupuestarias entre
# ejercicios (remodelaciones ministeriales). Una fila por arista origen→destino;
# las relaciones n:m se expresan con varias filas. Editable a mano; cómo se
# alimenta: ver README.md. Fuente de los cambios 2023→2024: diff de los índices
# oficiales PGE-ROM (PGE2023Ley vs PGE2024Prorroga, SEPG) tras el RD 829/2023
# de reestructuración de los departamentos ministeriales. 2024P→2025P: sin
# cambios de secciones (verificado sobre los mismos índices).
ejercicio_origen,seccion_origen,denominacion_origen,ejercicio_destino,seccion_destino,denominacion_destino,tipo_cambio,nota
2023,13,MINISTERIO DE JUSTICIA,2024,13,"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES",continuidad_renombre,Justicia absorbe Presidencia y Relaciones con las Cortes
2023,25,"MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA",2024,13,"MINISTERIO DE LA PRESIDENCIA, JUSTICIA Y RELACIONES CON LAS CORTES",fusion,Presidencia se integra en la sección 13
2023,25,"MINISTERIO DE LA PRESIDENCIA, RELACIONES CON LAS CORTES Y MEMORIA DEMOCRÁTICA",2024,22,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,escision,Memoria Democrática pasa a la sección 22
2023,15,MINISTERIO DE HACIENDA Y FUNCIÓN PÚBLICA,2024,15,MINISTERIO DE HACIENDA,continuidad_renombre,Pierde Función Pública
2023,15,MINISTERIO DE HACIENDA Y FUNCIÓN PÚBLICA,2024,33,MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA,escision,Función Pública pasa a la sección 33
2023,17,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",2024,17,MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,continuidad_renombre,Pierde Vivienda y Agenda Urbana
2023,17,"MINISTERIO DE TRANSPORTES, MOVILIDAD Y AGENDA URBANA",2024,25,MINISTERIO DE VIVIENDA Y AGENDA URBANA,escision,Vivienda y Agenda Urbana a la nueva sección 25
2023,18,MINISTERIO DE EDUCACIÓN Y FORMACIÓN PROFESIONAL,2024,18,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",continuidad_renombre,Gana Deportes
2023,24,MINISTERIO DE CULTURA Y DEPORTE,2024,24,MINISTERIO DE CULTURA,continuidad_renombre,Pierde Deporte
2023,24,MINISTERIO DE CULTURA Y DEPORTE,2024,18,"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",escision,Deporte pasa a la sección 18
2023,20,"MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO",2024,20,MINISTERIO DE INDUSTRIA Y TURISMO,continuidad_renombre,Pierde Comercio
2023,20,"MINISTERIO DE INDUSTRIA, COMERCIO Y TURISMO",2024,27,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",escision,Comercio pasa a la sección 27
2023,22,MINISTERIO DE POLÍTICA TERRITORIAL,2024,22,MINISTERIO DE POLÍTICA TERRITORIAL Y MEMORIA DEMOCRÁTICA,continuidad_renombre,Gana Memoria Democrática
2023,27,MINISTERIO DE ASUNTOS ECONÓMICOS Y TRANSFORMACIÓN DIGITAL,2024,27,"MINISTERIO DE ECONOMÍA, COMERCIO Y EMPRESA",continuidad_renombre,Pierde Transformación Digital
2023,27,MINISTERIO DE ASUNTOS ECONÓMICOS Y TRANSFORMACIÓN DIGITAL,2024,33,MINISTERIO PARA LA TRANSFORMACIÓN DIGITAL Y DE LA FUNCIÓN PÚBLICA,escision,Transformación Digital a la sección 33
2023,28,MINISTERIO DE CIENCIA E INNOVACIÓN,2024,28,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",continuidad_renombre,Gana Universidades
2023,33,MINISTERIO DE UNIVERSIDADES,2024,28,"MINISTERIO DE CIENCIA, INNOVACIÓN Y UNIVERSIDADES",fusion,Universidades se integra en la sección 28
2023,29,MINISTERIO DE DERECHOS SOCIALES Y AGENDA 2030,2024,29,"MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030",continuidad_renombre,Gana Consumo
2023,31,MINISTERIO DE CONSUMO,2024,29,"MINISTERIO DE DERECHOS SOCIALES, CONSUMO Y AGENDA 2030",fusion,Consumo se integra en la sección 29
2023,,,2024,31,MINISTERIO DE JUVENTUD E INFANCIA,creacion,Nueva sección 31 (el código lo ocupaba Consumo en 2023)
